단어,포함된 문장
갈드컵,갈드컵 롤대남 실베 저능아들 미스테리가 이렇게 풀리네 ㅋㅋㅋ
개억,죄다까는분위기라 개억까하노 ㅋㅋ
개폐급,정보 ) 똥양년의 테스트로테론 수치는 전 인종에서 가장 높게 측정되었다. 즉 이 게시글에 따르면 한국여자 스스로가 한국년은 개폐급이라고 인정하는 꼴
개폐급,진구 ㅅㅂ 개폐급새끼  - dc App
겜안분,어떤 일을 할거면 그 분야에 대해 알아야 하는건 당연한 거 아니야? 왜 상식이 파괴된 저능아 새끼들이 겜안분 개발자들 쉴드쳐주고 있냐? ㅋㅋ
겜안분,실제로 조 단위 매출의 게임 회사에서도 기획 단계 대가리들이 겜안분이라 회사 망해가고 그러고 있음근데 읏긴건 겜안분들은 사회적으로 활발해서 구직 시도하고 뭐하고 그래서 뽑히는데 겜잘알들은 겜하느라 정신 없어서 회사 들어가는거랑 거리가 멀음뭣보다 겜만 많이한다고 겜잘알이 되는것도 아님 그러니까 인재 모시기 빡세지 공개 백일장 같은거라도 해야 되는거 아닌가 싶은데 정작 게임회사들은 커뮤니티 여론 통제나 하고 있음
고추말리,진짜 일본총리관저는 옥상에서 고추말리고 싶게 생겼네
곧바,"인생에 한두번쯤 저런거 먹는다고 곧바로 당뇨 올 거 같진 않은데, 차라리 배가 넘 불러서 다 못먹을거 같고만"
공식기자회견,팩트)인도는 경찰총장이란 놈이 공식기자회견에서 강간 못피하면 즐겨라라고 대놓고 발언하는 미개국
관상충,관상충 = 선풍기괴담
국힘,"국힘당이 만들어 놓은 세상ㅋㅋㅋㅋㅋ국힘당 남경필 ""중국인들을 위해 경기도에 세계 역사상 최대 중국인마을 건설하자!""국힘당 정문헌 ""중국인들에게 투표권을 줘서 한국 정치인들을 뽑을 수 있게 해줘야합니다""실제로 추진해서 만듬ㄷㄷ국힘당 원희룡 ""경기도, 서울, 제주도 절반을 중국인들로 채우자"""
국힘,국힘대표가 저런거 맞았으면 황제주사 운운하면서 언론에서 개같이 조리돌림했을텐데 개센국 언론 민주당상대로만 덤덤하게 사실만 보도하는거보소 ㅋㅋㅋ
국힘,짱개들은 100% 민주당 찍는다그러니까 국힘을 찍으면 됨
국힘,민주당폰 원래 저랬잖아 ㅋㅋㅋ국힘 찍으면서 아이퐁을 쓰는 븅신들
국힘당,"국힘당이 만들어 놓은 세상ㅋㅋㅋㅋㅋ국힘당 남경필 ""중국인들을 위해 경기도에 세계 역사상 최대 중국인마을 건설하자!""국힘당 정문헌 ""중국인들에게 투표권을 줘서 한국 정치인들을 뽑을 수 있게 해줘야합니다""실제로 추진해서 만듬ㄷㄷ국힘당 원희룡 ""경기도, 서울, 제주도 절반을 중국인들로 채우자"""
국힘대표,국힘대표가 저런거 맞았으면 황제주사 운운하면서 언론에서 개같이 조리돌림했을텐데 개센국 언론 민주당상대로만 덤덤하게 사실만 보도하는거보소 ㅋㅋㅋ
그종교,성상숭배 그종교 글이 요즘들어 많이 올라오네
기묭,아픈젤은 아니도 머리가 짜나 기묭 기능후지 않냐?
기본소양도,3. 병신같은 틀딱새끼가 민족주의 국가주의 하면서 유럽 미국 예를 드는게 시발 ㅋㅋㅋ 좆도 모른다는 또다른 증거다 2000년이 넘게 한민족으로 덩어리로 산 민족하고 개잡탕으로 골족 갈리아족 데인족 즈그들끼리 민족을 갈라서 수천년 싸운 새끼들을 동일비교하는 좆도 모르는 틀딱새끼가...인문학적으로 기본소양도 없는새끼다. 4. 시발 박정희 언급하는 꼬라지 봐라 좆틀딱새끼가 감히 좆도 모르면서...
기억소거,찢은 왜 자꾸 증거가 다 있는데 아니라고 함?ㅋㅋㅋ무슨 맨인블랙한테 기억소거라도 당한건지?ㅋㅋㅋㅋ
깅자,깅자는 필요하긴 했어 ㅋㅋ
네실,출산율 0.7따리가  저거보고 할복이네 뭐네실제로 상반기에만 7천명이 자살로 뒤진 나라가 조센인데
네실,네실이 비틱질ㅋㅋㅋㅋ
노괴,역갤러 = 노괴 정신병자  - dc App
노괴,짬통노괴들 애잔하누ㅎㅎ
노저어,물들어왔을때 노저어야지 ㅋㅋ - dc App
누칼협,"누칼협?파는새끼 사는새끼 맘이지?좆센징들 명품백 800짜리 ,몇천짜리 왜 처입음?좆센징이 명품 판매량 외제차 판매량 세계 1윈데누칼협?파는새끼 사는새끼 맘이지?좆센징들 명품백 800짜리 ,몇천짜리 왜 처입음?좆센징이 명품 판매량 외제차 판매량 세계 1윈데누칼협?파는새끼 사는새끼 맘이지?좆센징들 명품백 800짜리 ,몇천짜리 왜 처입음?좆센징이 명품 판매량 외제차 판매량 세계 1윈데누칼협?파는새끼 사는새끼 맘이지?좆센징들 명품백 800짜리 ,몇천짜리 왜 처입음?좆센징이 명품 판매량 외제차 판매량 세계 1윈데누칼협?파는새끼 사는새끼 맘이지?좆센징들 명품백 800짜리 ,몇천짜리 왜 처입음?좆센징이 명품 판매량 외제차 판매량 세계 1윈데누칼협?파는새끼 사는새끼 맘이지?좆센징들 명품백 800짜리 ,몇천짜리 왜 처입음?"
누칼협,"누칼협?파는새끼 사는새끼 맘이지?좆센징들 명품백 800짜리 ,몇천짜리 왜 처입음?좆센징이 명품 판매량 외제차 판매량 세계 1윈데누칼협?파는새끼 사는새끼 맘이지?좆센징들 명품백 800짜리 ,몇천짜리 왜 처입음?좆센징이 명품 판매량 외제차 판매량 세계 1윈데누칼협?파는새끼 사는새끼 맘이지?좆센징들 명품백 800짜리 ,몇천짜리 왜 처입음?좆센징이 명품 판매량 외제차 판매량 세계 1윈데누칼협?파는새끼 사는새끼 맘이지?좆센징들 명품백 800짜리 ,몇천짜리 왜 처입음?좆센징이 명품 판매량 외제차 판매량 세계 1윈데누칼협?파는새끼 사는새끼 맘이지?좆센징들 명품백 800짜리 ,몇천짜리 왜 처입음?좆센징이 명품 판매량 외제차 판매량 세계 1윈데누칼협?파는새끼 사는새끼 맘이지?좆센징들 명품백 800짜리 ,몇천짜리 왜 처입음?"
누칼협,"누칼협?파는새끼 사는새끼 맘이지?좆센징들 명품백 800짜리 ,몇천짜리 왜 처입음?좆센징이 명품 판매량 외제차 판매량 세계 1윈데누칼협?파는새끼 사는새끼 맘이지?좆센징들 명품백 800짜리 ,몇천짜리 왜 처입음?좆센징이 명품 판매량 외제차 판매량 세계 1윈데누칼협?파는새끼 사는새끼 맘이지?좆센징들 명품백 800짜리 ,몇천짜리 왜 처입음?좆센징이 명품 판매량 외제차 판매량 세계 1윈데누칼협?파는새끼 사는새끼 맘이지?좆센징들 명품백 800짜리 ,몇천짜리 왜 처입음?좆센징이 명품 판매량 외제차 판매량 세계 1윈데누칼협?파는새끼 사는새끼 맘이지?좆센징들 명품백 800짜리 ,몇천짜리 왜 처입음?좆센징이 명품 판매량 외제차 판매량 세계 1윈데누칼협?파는새끼 사는새끼 맘이지?좆센징들 명품백 800짜리 ,몇천짜리 왜 처입음?"
누칼협,누칼협
니돈,ㅅㅂ 애미 ㅋㅋㅋㅋ 한남은 한녀 자체를 조심해라... 언제 니돈이 없어질지 모름 ㅇㅇ
다섯배,람보르기니보다 여자를 다섯배 더 많이 태우고다닐수 있다 미친놈인가
다섯배,"ㅆㅂ 나도 다마스 타고 다녔는데 외노자를 다섯배 더 태우고 다녔다. 지금은 머스탱 타는데, 여자가 안탄다.ㅠㅠ"
단식쇼,구속되기 싫어서 거대야당 당대표가 단식쇼 ㅋㅋㅋㅋㅋ
단식쇼,뭐냐 ㅋㅋ 전문가한테 단식쇼 들키니까 바로 접어버린거였네 ㅋㅋㅋ 진짜 레전드다 ㅋㅋㅋㅋ
답글순,답글순 삭제된댓 뭐노? 다들 웃기만 해서 모르겠네
던머,던머새끼 아니랄까봐 대충하는거 봐라  - dc App
도검술,동서양 막론하고 공통적으로 전투의 전술은 병사를 창과 방패로 무장시켜서 대형을 짜서 밀고 들어가는게 정석이다. 전쟁과 전투는 일대일 대련이 아니다. 20세기에 일본이 아시아를 침략했을 때에도 사무라이의 도검술로 침략한 게 아니다. 전쟁과 전투는 단체전이고 과거에도 마찬가지였고 많은 병사를 대형을 짜서 맞붙게 하는데에는 도검술보다 창과 방패로 무장하여 전투 훈련을 시켜 숙련시키는게 훨씬 효과적이다. 이것은 동서양 모두 마찬가지였다.
도검술,사무라이의 도검술은 일대일에서나 쓸모 있었을 뿐이고 전쟁과 전투에서는 병사들을 대형을 짜서 진격하는 것이 표준이고 이것은 동서양 모두 동일했다. 따라서 병사 개개인에게 도검술을 깊이 있게 가르치지 않았다. 이것은 마치 중국이 소림사 쿵후를 연마시키는 것과 마찬가지로 쓸모 없는 짓이다. 전투에서는 병사들을 대형을 짜서 돌격시키므로 여기서 적진을 뚫고 들어가는 전술을 훈련시키는게 동서양 공통의 훈련 교리였다. 개인기량보다 단체기량을 심화시키는게 정통 전술 훈련이다.
두창견,두창견들아 이게뭐노?
똥뽈,"어차피 한국의 기독교 ,천주교는 대가릿수 운지중 ㅋㅋ개독만큼이나 천주교도 똥뽈 존나 차는중이라늘어날일 없슴 ㅋ그리고 결혼 상대로 종교 유 = 거름 순위 라서 ㅋㅋ"
똥서울,똥서울보다는 훨씬 안전하지 씹ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 강간이랑 몰카 존나많은 서울을 어따비벼 씹ㅋㅋㅋㅋㅋㅋㅋ
똥서울,똥서울사는새끼들이 치안운운하는게 솔직히 웃김ㅋㅋㅋㅋㅋㅋ 한국 여자연예인조차도 밤길 무섭다고하는게 똥서울인데 애미씹ㅋㅋㅋㅋㅋㅋ 중국욕할때가 아닌데 ㅋㅋㅋㅋㅋㅋ
똥서울,이게 똥서울의 현실인가
롤대남,롤대남은 그렇다 치고 이대녀들이 중국 더 혐오한다는데 마라탕후루 유행을 선도하면서 민주당을 뽑는다..?
롤대남,제한된 롤대남ㄷㄷ4년제 나와서 이렇게 글 못 쓰는 세대는 처음... 서울대 교수 실제 발언
롤대남,갈드컵 롤대남 실베 저능아들 미스테리가 이렇게 풀리네 ㅋㅋㅋ
마라탕후루,롤대남은 그렇다 치고 이대녀들이 중국 더 혐오한다는데 마라탕후루 유행을 선도하면서 민주당을 뽑는다..?
마주칠일,시발년 기만하네. 인도에서 외국나왔다는 것 자체가 일반인들이랑 마주칠일 없는 금수저 집안임 한국에서 침?? 인도 빤(한자로는 빈낭)이라는 씹어먹는 열매 씹고 빨간 침이 온 세상에 뿌려져 있는데 인도년이 한국에서 침??
머어,저기서 화약 무기는 안쓰기로 암묵적 합의가 된거 같으니까 짱깨와 인도가 칼방패 들고 수십만명씩 싸우면 볼만 하겠다.  그거 방영권 팔면 프리머어 리그보다 돈 더 벌듯
무력혁명,저긴 주정부를 공산당이 투표로 집권 한적도 있음 전세계에 공산당이 무력혁명없이 투표로 집권한게 최초임 그리고 공산당이 독재 안하고 투표로 다시 정권 뺏긴 적도 처음이고  하나부터 열까지 개병신 같은 부분 밖에 없는 나라지만 민주주의 는 무시 못할 나라임
무슨무슨,무슨무슨 라이크 거리는게 진짜 개패고 싶네
무시함,디시식 미의기준)김채원 은하 케이 우정잉 이딴것들이 미인 고로 위에있는 애들 무시함 무조건 지들이 빠는 러블리즈식 동남아상이 무조건 옳고 그게 스시녀 그자체임 고로 코마츠나나같은 진짜 이쁜 일본여자보다 김채원같은애들이 이쁘다고 스시녀상이라 우김 그러니 2d캐도 사쿠라 루키아 하이바라 아리마카나같은거 빠는거 ㅇㅇ
무시함,디시에서 옹호받는 직업의 특징 : 일반인들이 무시함 ㅋㅋㅋㅋㅋㅋ
무지성,"펨코같은 좆선족 사이트는 동성애, 마라탕, 탕후루, 버튜버 혐오하면 틀딱이라는 글이 베댓이던데 ㄹㅇ 무지성 틀딱프레임 씌우는 새끼들 조선족인게 맞는거같음"
무지성,좌좀 마냥 아파트 무지성으로 빨아재끼는 실베 아좀이 많네
무지성,무지성으로 블박제보자만 유리하게끔 언플함 구독취소
무지성,무지성쉴드 ㅈ같아서 안본지 오래됐는데 머가리깨진사람들 많나보노 ㅋ
무직백수,구라안치고 존나힙한데? 무직백수라 아쉽노 월급쟁이만되었어도 바로샀는데
물음표핑,"동해 주장할꺼면 dong hae 차라리 이렇게 밀었어야됐는데 코리언피자, 라이스와인 이지랄하던 븅신새끼들 아니랄까봐 east sea로 개병신같이 지어서 고유명사 취급도 못 받고 물음표핑만 ㅈㄴ찍힘 ㅋㅋ"
뭔말,어차피 국뽕새끼들은 이성보다 감정이 먼저라서 자기 듣기좋은 말 해주면 그걸 전적으로 믿기때문에 저말 뜻이 뭔말인지 이해할 생각도 안함 ㅋㅋ
뭔말,"젖닌이라서, 호날두룰 좋게 평가한다는논리성 인과성을 모두 갖추고있는 훌륭한 말인데,위에서 점유율은 훌륭하고, 젖닌이냐는 시원찮다는게 뭔말이지"
미시입술,딱 미시입술 수준 ㄷㄷ
민달팽,단독주택에 살면 보게되는 거 꽃무지 풍뎅이 민달팽이 지렁이 콩벌레 쥐며느리 거미 지네 집게벌레 그리마 동애등에 섬서구메뚜기 방아깨비 땅강아지 귀뚜라미 곱등이 하우스게코 털바퀴 고라니]
밀스퍼거,버스퍼거 철스퍼거 역스퍼거 밀스퍼거
반일불매,마라탕 유행도 반일불매때문에 뜬거잖노 좆같은 반일충새끼들 ㅋㅋㅋㅋㅋㅋ
반일충,마라탕 유행도 반일불매때문에 뜬거잖노 좆같은 반일충새끼들 ㅋㅋㅋㅋㅋㅋ
